Clubes,América,Atlético,Athletico,Bahia,Botafogo,Corinthians,Coritiba,Cruzeiro,Cuiabá,Flamengo,Fluminense,Fortaleza,Grêmio,Goiás,Internacional,Palmeiras,Santos,São Paulo,Vasco da Gama,Média da Liga
Direitos de transmissão,,,,,,,17.5,,,326,,,193.0,,,183,,,,179.875
Publicidade e patrocínio,,,,,,,6.9,,,183,,,74.0,,,121,,,,96.225
Arrecadação de jogos,,,,,,,7.9,,,169,,,2.4,,,63,,,,60.575
Sócio-torcedor,,,,,,,14.0,,,90,,,86.0,,,59,,,,62.25
Premiações,,,,,,,,,,137,,,,,,80,,,,108.5
Licenciamento da marca,,,,,,,,,,59,,,31.0,,,36,,,,42.0
RECEITA RECORRENTE,,,,,,,46.3,,,964,,,386.4,,,542,,,,484.67499999999995
Negociação de atletas,,,,,,,12.0,,,303,,,50.0,,,187,,,,138.0
Outras receitas,,,,,,,,,,18,,,-12.399999999999977,,,4,,,,3.2000000000000077
RECEITA OPERACIONAL LÍQUIDA,,,,,,,95.5,,,1316,,,424.0,,,732,,,,641.875
Pessoal e encargos sociais,,,,,,,40.6,,,339,,,128.0,,,387,,,,223.65
Direitos de imagem,,,,,,,15.0,,,124,,,103.0,,,86,,,,82.0
Despesas com jogos,,,,,,,3.2,,,125,,,23.0,,,26,,,,44.3
Despesas gerais e administrativas,,,,,,,35.0,,,131,,,89.0,,,86,,,,85.25
Depreciação e amortização,,,,,,,0.4,,,200,,,5.3,,,106,,,,77.92500000000001
Outras despesas,,,,,,,,,,34,,,109.69999999999999,,,5,,,,49.56666666666666
DESPESAS,,,,,,,105.0,,,953,,,458.0,,,697,,,,553.25
RESULTADO OPERACIONAL,,,,,,,45.0,,,292,,,9.5,,,34,,,,95.125
Resultado Financeiro,,,,,,,-30.0,,,28,,,-55.0,,,51,,,,-1.5
Superávit/Déficit,,,,,,,15.0,,,320,,,-45.0,,,-16,,,,68.5
Folha de Pessoal/Imagem,,,,,,,55.6,,,463,,,231.0,,,473,,,,305.65
Transmissão + Premiação,,,,,,,18.0,,,463,,,193.0,,,263,,,,234.25
