Unnamed: 0,América,Unnamed: 2,Unnamed: 3,Atlético,Unnamed: 5,Unnamed: 6,Athletico,Unnamed: 8,Unnamed: 9,Bahia,Unnamed: 11,Unnamed: 12,Botafogo,Unnamed: 14,Unnamed: 15,Corinthians,Unnamed: 17,Unnamed: 18,Coritiba,Unnamed: 20,Unnamed: 21,Cruzeiro,Unnamed: 23,Unnamed: 24,Cuiabá,Unnamed: 26,Unnamed: 27,Flamengo,Unnamed: 29,Unnamed: 30,Fluminense,Unnamed: 32,Unnamed: 33,Fortaleza,Unnamed: 35,Unnamed: 36,Grêmio,Unnamed: 38,Unnamed: 39,Goiás,Unnamed: 41,Unnamed: 42,Internacional,Unnamed: 44,Unnamed: 45,Palmeiras,Unnamed: 47,Unnamed: 48,Santos,Unnamed: 50,Unnamed: 51,São Paulo,Unnamed: 53,Unnamed: 54,Vasco da Gama,Unnamed: 56,Unnamed: 57
Rubricas,2023.0,2022.0,2019.0,2023.0,2022.0,2019.0,2023.0,2022.0,2019.0,2023.0,2022.0,2019.0,2023.0,2022.0,2019.0,2023.0,2022.0,2019.0,2023.0,2022.0,2019.0,2023.0,2022.0,2019.0,2023.0,2022.0,2019.0,2023.0,2022.0,2019.0,2023.0,2022.0,2019.0,2023.0,2022.0,2019.0,2023.0,2022.0,2019.0,2023.0,2022.0,2019.0,2023.0,2022.0,2019.0,2023.0,2022.0,2019.0,2023.0,2022.0,2019.0,2023.0,2022.0,2019.0,2023.0,2022.0,2019.0
Receita c/ Transmissão + Premiações,73.0,105.21300000000001,13.101784745243378,98.0,159.88250000000002,152.43422636292777,117.0,133.0635,201.56591915759043,,22.693,102.04274657353017,,,,319.0,328.01700000000005,238.0997420049037,51.0,50.5435,18.896804921024103,,29.913500000000003,128.4982734629639,75.0,90.772,0.0,425.0,518.0,420.0,276.5,155.75650000000002,136.05699543137354,103.0,121.71700000000001,57.95020175780725,193.0,72.20500000000001,207.86485413126513,56.1,76.53730000000002,86.92530263671088,150.0,159.88250000000002,195.26698418391575,263.0,271.28450000000004,274.633564852217,,108.3075,138.57656942084344,259.0,211.4575,172.5908182786868,119.0,33.008,149.9146523734579
Publicidade e patrocínio,33.0,18.154400000000003,7.18078586998916,47.0,71.1735,27.715313884168687,39.0,72.20500000000001,21.416378910493986,,18.567,20.156591915759044,,,,117.0,96.96100000000001,91.96445061565063,14.0,16.504,5.039147978939761,,29.913500000000003,32.754461863108446,6.3,5.67325,30.234887873638566,183.0,154.72500000000002,99.52317258406028,50.0,34.039500000000004,11.338082952614462,31.0,22.693,9.448402460512051,74.0,45.386,46.61211880519279,23.35,13.409500000000001,7.558721968409642,65.0,48.480500000000006,59.209988752542195,121.0,140.28400000000002,142.35593040504824,,69.1105,28.975100878903625,46.0,55.70100000000001,26.455526889433745,49.0,24.343400000000003,20.156591915759044
Match-Day,3.1,3.61025,0.3779360984204821,47.0,40.228500000000004,21.416378910493986,33.0,24.756,30.234887873638566,,18.567,21.416378910493986,,,,91.0,101.087,78.1067936735663,12.0,27.850500000000004,6.550892372621689,,33.008,22.676165905228924,16.6,13.718950000000001,1.6377230931554223,169.0,131.00050000000002,143.6157173997832,39.0,24.756,20.156591915759044,20.0,19.5985,15.117443936819283,2.4,0.0,0.25195739894698804,6.75,5.7764,10.834168154720485,20.0,15.472500000000002,25.195739894698804,63.0,57.764,56.69041476307231,,45.386,30.234887873638566,110.0,66.016,49.13169279466267,25.0,11.44965,20.156591915759044
Sócio-torcedor,0.0,0.0,0.0,27.0,29.913500000000003,12.597869947349402,45.0,39.197,34.014248857843384,,,,,,,43.0,33.008,26.455526889433745,27.0,22.693,12.597869947349402,,30.945000000000004,17.637017926289165,0.0,0.0,0.0,90.0,74.268,78.1067936735663,57.0,22.693,6.298934973674701,35.0,36.102500000000006,23.935952899963866,86.0,54.669500000000006,104.56232056300004,8.0,1.34095,1.1338082952614463,73.0,,,59.0,51.575,57.95020175780725,,,,21.0,18.567,12.597869947349402,32.0,27.850500000000004,45.35233181045785
Premiações,0.0,0.0,0.0,0.0,0.0,0.0,37.0,83.5515,107.08189455246992,,,,,,,12.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,137.0,257.875,220.46272407861454,155.0,0.0,0.0,39.0,37.134,15.117443936819283,0.0,0.0,0.0,11.0,7.426800000000001,2.5195739894698805,75.0,14.441,90.7046636209157,80.0,97.9925,25.195739894698804,,,,0.0,29.913500000000003,34.014248857843384,20.0,2.063,27.715313884168687
Licenciamento da marca,0.0,0.0,0.0,0.0,0.0,0.0,27.4,80.45700000000001,34.014248857843384,,,,,,,17.0,0.0,0.0,0.0,0.0,0.0,,14.441,,0.0,0.0,0.0,59.0,90.772,17.637017926289165,1.3,0.0,0.0,19.0,,,31.0,11.3465,23.935952899963866,2.5500000000000003,,,14.0,13.409500000000001,3.779360984204821,36.0,22.693,18.896804921024103,,,,18.0,16.504,16.377230931554223,8.6,4.126,3.779360984204821
Receita Recorrente,109.1,126.97765,20.660506713653017,219.0,301.19800000000004,214.16378910493987,224.4,349.6785,321.24568365740976,,59.827000000000005,143.6157173997832,,,,587.0,559.0730000000001,434.6265131835544,104.0,117.591,43.08471521993496,,138.221,201.56591915759043,97.9,110.16420000000001,31.87261096679399,926.0,968.7655,758.8827015836989,423.8,237.24500000000003,173.85060527342173,208.0,200.11100000000005,106.45200105510246,386.4,183.607,383.2272037983688,96.75,97.06415000000003,106.45200105510246,322.0,237.24500000000003,283.45207381536153,542.0,543.6005,550.5269166991689,,222.804,197.78655817338563,454.0,368.24550000000005,277.1531388416868,234.0,100.77755000000002,239.35952899963863
Negociação de atletas,62.0,10.315000000000001,5.291105377886749,111.0,90.772,133.53742144190366,241.0,104.18150000000001,167.55167029974706,,21.6615,56.69041476307231,,,,251.0,150.59900000000002,42.83275782098797,15.2,35.071000000000005,3.6533822847313266,,16.504,136.05699543137354,0.0,0.0,0.0,303.0,137.1895,377.9360984204821,16.0,96.96100000000001,132.27763444716874,34.0,20.630000000000003,8.188615465777112,50.0,105.21300000000001,136.05699543137354,4.5,3.0945,1.3857656942084344,77.0,178.4495,171.3310312839519,187.0,179.48100000000002,136.05699543137354,,151.6305,272.1139908627471,121.0,236.2135,132.27763444716874,125.3,27.334750000000003,17.637017926289165
Receita Operacional Líquida,188.0,148.536,39.05339683678315,336.0,397.12750000000005,356.5197195099881,513.4,359.99350000000004,477.45927100454236,,103.15,219.20293708387962,,,,838.0,672.538,466.1211880519279,160.1,160.91400000000002,47.87190579992773,,150.59900000000002,354.00014552051823,158.0,127.906,26.455526889433745,1316.0,1147.028,1151.4453131877353,452.0,339.36350000000004,314.94674868373505,243.0,250.6545,137.3167824261085,424.0,297.072,513.9930938518556,90.0,100.05550000000001,114.64061652087956,374.0,373.403,491.3169279466267,839.0,815.9165,753.3526228514943,,352.773,503.91479789397613,669.0,606.522,410.6905602835905,345.0,119.65400000000001,302.34887873638564
